sid,gid,gname,sname,fname,pinyin,abbr,tid,tname,pid,pname,nickname,company,join_day,height,birth_day,star_sign_12,star_sign_48,birth_place,speciality,hobby,experience,catch_phrase,weibo_uid,weibo_verifier,blood_type,tieba_kw,status
40031,40,SHY,张儒轶,张 儒轶,Zhang RuYi,ZRY,402,HIII,4001,SHY48 一期生,大西瓜、瓜瓜,沈阳丝芭文化传媒有限公司,2016-10-30,160,02.26,双鱼座,心灵双鱼座，心灵的一周，2.23-3.2,中国 辽宁 沈阳,民族舞,尤克里里、瑜伽、讲笑话,2016.10.29 加入SHY48一期生<br>2016.10.29 加入SHY48 HIII队（TeamHIII）,用青春挥洒汗水，用汗水证明青春，把自己最美的年纪献给我最爱的舞台，相信我一定会在舞台上闪闪发亮的。因为梦想让我们大家聚在了一起，希望未来的路我们可以走的越来越远。,6093331643,dacca34a,B,shy48,44
40032,40,SHY,张云梦,张 云梦,Zhang YunMeng,ZYM,402,HIII,4001,SHY48 一期生,梦梦,沈阳丝芭文化传媒有限公司,2016-10-30,170,12.11,射手座,泰坦神射手座，巨人的一周，12.11-12.18,中国 辽宁 沈阳,古筝,唱歌跳舞,2016.10.29 加入SHY48一期生<br>2016.10.29 加入SHY48 HIII队（TeamHIII）<br>2017.07.29 SHY48 TOP16 第十五名,性格：属于静若处子动若脱兔型  喜好：看电影 听歌 四处旅行 游泳滑雪  独特之处：好人缘,6087617716,dacca34a,AB,shy48,44
40033,40,SHY,张幼柠,张 幼柠,Zhang YouNing,ZYN,402,HIII,4001,SHY48 一期生,柠檬 阿爸 苗苗,沈阳丝芭文化传媒有限公司,2016-10-30,159,10.27,天蝎座,强烈天蝎座，强烈的一周，10.26-11.2,中国 四川 广安,唱歌，钢琴，特能吃辣,写歌，看动漫，宅舞，cosplay,2016.10.29 加入SHY48一期生<br>2016.10.29 加入SHY48 HIII队（TeamHIII）,喜欢写歌，想以后能有一天写歌给大家听。平时喜欢看动漫，宅舞，cosplay。喜欢玩抽卡一类的手游。擅长唱歌和钢琴，以后也会学习新的技能，然后慢慢展示给大家。,6093208595,958ee630,-,shy48,44
40034,40,SHY,张雨晴,张 雨晴,Zhang YuQing,ZYQ,402,HIII,4001,SHY48 一期生,泡泡,沈阳丝芭文化传媒有限公司,2016-10-30,161,09.15,处女座,真我处女座，真我的一周，9.11-9.18,中国 辽宁 沈阳,主持，英语，搞笑，声带模仿,听歌，看电影，看剧，跳舞,2016.10.29 加入SHY48一期生<br>2016.10.29 加入SHY48 HIII队（TeamHIII）,有少女心的女汉子，很开朗爱笑，喜欢照顾人，很享受被人依靠和信赖的感觉。慢热，有点小害羞，熟起来会很粘人。喜欢唱歌跳舞，对于梦想有执念，觉得有梦是全天下最幸福的事。,6107458516,838f007c,A,shy48,44
50001,50,CKG,柏欣妤,柏 欣妤,Bai XinYu,BXY,501,C,5001,CKG48 一期生,波多野卷菜花、白白,重庆丝芭文化传媒有限公司,2017-10-27,166,01.25,水瓶座,天才水瓶座，天才的一周，1.23-1.30,中国 江苏 ,画画、剪辑视频,电子竞技、美食,2017.10.27 加入CKG48 一期生<br>2017.10.27 加入CKG48 TeamC队（TeamC）<br>2018.07.28 CKG48 TOP16 第二名<br>2018.11.03 兼任BEJ48,大家好，我是CKG48 Team C的柏欣妤。,6375479853,a28ad50d,-,ckg48,99
50048,50,CKG,康兆薇,康 兆薇,Kang ZhaoWei,KZW,501,C,5003,CKG48 三期生,red、薇薇,重庆丝芭文化传媒有限公司,2018-09-01,158,02.09,水瓶座,接纳水瓶座，接纳的一周，2.8-2.15,中国 重庆 ,手工、跳舞,画画、追剧,2018.09.01 加入CKG48 三期生<br>2018.09.01 加入CKG48 预备生<br>2018.11.03 升格加入CKG48 Team C,大家好，我是CKG48 Team C的康兆薇。,6666398209,a0a3f07e,-,ckg48,99
50003,50,CKG,李姗姗,李 姗姗,Li ShanShan,LSS,501,C,5001,CKG48 一期生,册子、Satsuko,重庆丝芭文化传媒有限公司,2017-10-27,168,04.08,白羊座,星星白羊座，星星的一周，4.3-4.10,中国 四川 ,扫雷、手速快,睡觉,2017.10.27 加入CKG48 一期生<br>2017.10.27 加入CKG48 TeamC队（TeamC）<br>2018.07.28 CKG48 TOP16 第三名,大家好，我是CKG48 Team C的李姗姗。,6372319982,a28ad50d,B,ckg48,99
50004,50,CKG,雷宇霄,雷 宇霄,Lei YuXiao,LYX,501,C,5001,CKG48 一期生,霄霄、霄酱,重庆丝芭文化传媒有限公司,2017-10-27,164,11.03,天蝎座,深奥天蝎座，深奥的一周，11.3-11.11,中国 广东 ,特别可爱、懵、中国舞、表演,中国舞、有趣的事物、美味的食物,2017.10.27 加入CKG48 一期生<br>2017.10.27 加入CKG48 TeamC队（TeamC）<br>2018.07.28 CKG48 TOP16 第十四名,大家好，我是CKG48 Team C的雷宇霄。,6375473063,a28ad50d,A,ckg48,99
50006,50,CKG,孟玥,孟 玥,Meng Yue,MY,501,C,5001,CKG48 一期生,肉肉,重庆丝芭文化传媒有限公司,2017-10-27,158,03.11,双鱼座,梦想家双鱼座，舞者与梦想家的一周，3.11-3.18,中国 重庆 ,视力好、叠袜子,唱歌、跳舞、弹钢琴、书法、阅读、爱豆,2017.10.27 加入CKG48 一期生<br>2017.10.27 加入CKG48 TeamC队（TeamC）,大家好，我是CKG48 Team C的孟玥。,6371378745,a28ad50d,-,ckg48,99
50007,50,CKG,毛译晗,毛 译晗,Mao YiHan,MYH,501,C,5001,CKG48 一期生,小毛、小毛毛,重庆丝芭文化传媒有限公司,2017-10-27,165,11.27,射手座,独立射手座，独立的一周，11.25-12.2,中国 重庆 ,钢琴、吉他、篮球、滑板,吉他、篮球、滑板,2017.10.27 加入CKG48 一期生<br>2017.10.27 加入CKG48 TeamC队（TeamC）<br>2018.07.28 CKG48 TOP16 第十一名,大家好，我是CKG48 Team C的毛译晗。,6375473322,a28ad50d,A,ckg48,99
